,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
adjunct_island,1228.0,18.0,0.0,0.0,0.0,1.0,1.0,14.0,6.0,4.0,4.0,1.0,0.0,27.0,21.0,24.0,64.0,38.0,0.0,2.0,10.0,5.0,0.0,6.0,2.0,1.0,1.0,0.0,22.0,0.0,1.0,3.0,17.0,2.0,0.0,0.0,35.0,52.0,9.0,1.0,29.0,13.0,0.0,7.0,4.0,16.0,5.0,15.0,10.0,1.0,0.0,29.0,8.0,24.0,1.0,52.0,29.0,0.0,53.0,19.0,21.0,143.0,3.0,6.0,5.0,34.0,8.0
principle_A_c_command,18.0,1228.0,134.0,160.0,22.0,51.0,96.0,11.0,13.0,12.0,7.0,49.0,19.0,20.0,11.0,22.0,43.0,36.0,14.0,44.0,27.0,14.0,20.0,22.0,14.0,61.0,27.0,14.0,18.0,144.0,13.0,44.0,21.0,18.0,19.0,24.0,17.0,17.0,13.0,32.0,33.0,19.0,15.0,4.0,20.0,75.0,4.0,12.0,49.0,31.0,16.0,0.0,9.0,26.0,36.0,21.0,17.0,14.0,45.0,8.0,25.0,31.0,5.0,6.0,31.0,18.0,21.0
anaphor_number_agreement,0.0,134.0,1228.0,296.0,116.0,170.0,150.0,3.0,3.0,22.0,20.0,125.0,108.0,30.0,26.0,3.0,3.0,28.0,41.0,78.0,36.0,33.0,147.0,30.0,25.0,129.0,168.0,104.0,7.0,245.0,38.0,115.0,45.0,6.0,139.0,121.0,26.0,92.0,9.0,132.0,15.0,8.0,111.0,9.0,0.0,12.0,17.0,17.0,85.0,32.0,107.0,6.0,14.0,5.0,140.0,1.0,25.0,39.0,16.0,34.0,69.0,1.0,21.0,23.0,78.0,5.0,25.0
principle_A_domain_2,0.0,160.0,296.0,1228.0,63.0,68.0,52.0,6.0,7.0,10.0,11.0,72.0,56.0,10.0,7.0,3.0,2.0,19.0,17.0,29.0,29.0,12.0,72.0,15.0,13.0,31.0,46.0,56.0,6.0,577.0,20.0,42.0,36.0,20.0,67.0,64.0,12.0,17.0,11.0,41.0,19.0,9.0,51.0,1.0,3.0,19.0,5.0,6.0,55.0,29.0,53.0,8.0,6.0,3.0,44.0,5.0,29.0,15.0,16.0,33.0,32.0,2.0,10.0,13.0,52.0,1.0,15.0
determiner_noun_agreement_with_adjective_1,0.0,22.0,116.0,63.0,1228.0,63.0,58.0,6.0,9.0,6.0,14.0,55.0,1002.0,145.0,12.0,1.0,0.0,53.0,255.0,47.0,396.0,8.0,842.0,4.0,7.0,42.0,76.0,857.0,2.0,43.0,16.0,223.0,215.0,3.0,862.0,1116.0,151.0,20.0,6.0,62.0,97.0,7.0,834.0,3.0,0.0,121.0,10.0,1.0,118.0,8.0,985.0,6.0,4.0,1.0,43.0,0.0,179.0,26.0,155.0,122.0,43.0,0.0,120.0,165.0,84.0,0.0,14.0
irregular_plural_subject_verb_agreement_2,1.0,51.0,170.0,68.0,63.0,1228.0,253.0,35.0,6.0,49.0,28.0,123.0,54.0,24.0,49.0,24.0,5.0,19.0,19.0,127.0,7.0,24.0,85.0,62.0,50.0,318.0,435.0,50.0,17.0,77.0,94.0,80.0,8.0,47.0,80.0,66.0,28.0,26.0,64.0,766.0,11.0,48.0,71.0,22.0,7.0,2.0,54.0,54.0,64.0,94.0,51.0,6.0,15.0,12.0,665.0,11.0,15.0,54.0,4.0,14.0,120.0,4.0,12.0,10.0,76.0,3.0,42.0
distractor_agreement_relative_clause,1.0,96.0,150.0,52.0,58.0,253.0,1228.0,18.0,5.0,71.0,66.0,99.0,65.0,43.0,20.0,22.0,2.0,23.0,14.0,127.0,9.0,66.0,82.0,106.0,60.0,527.0,193.0,42.0,20.0,57.0,107.0,83.0,11.0,32.0,84.0,59.0,17.0,18.0,33.0,221.0,2.0,30.0,63.0,36.0,1.0,3.0,31.0,13.0,72.0,86.0,61.0,19.0,33.0,14.0,300.0,0.0,5.0,139.0,1.0,9.0,62.0,0.0,5.0,3.0,51.0,0.0,68.0
wh_questions_subject_gap_long_distance,14.0,11.0,3.0,6.0,6.0,35.0,18.0,1228.0,8.0,363.0,16.0,16.0,5.0,13.0,20.0,29.0,9.0,221.0,7.0,21.0,1.0,17.0,6.0,20.0,307.0,12.0,42.0,2.0,7.0,6.0,24.0,25.0,2.0,29.0,9.0,5.0,19.0,6.0,33.0,38.0,0.0,578.0,6.0,25.0,11.0,6.0,10.0,30.0,26.0,26.0,4.0,6.0,20.0,30.0,33.0,20.0,1.0,25.0,5.0,0.0,21.0,21.0,0.0,0.0,14.0,10.0,9.0
left_branch_island_simple_question,6.0,13.0,3.0,7.0,9.0,6.0,5.0,8.0,1228.0,6.0,26.0,13.0,10.0,10.0,5.0,17.0,57.0,15.0,8.0,8.0,16.0,12.0,10.0,7.0,9.0,5.0,9.0,8.0,20.0,9.0,3.0,8.0,10.0,8.0,10.0,9.0,28.0,19.0,10.0,6.0,23.0,12.0,11.0,12.0,258.0,20.0,8.0,22.0,10.0,7.0,9.0,257.0,13.0,15.0,8.0,36.0,16.0,16.0,15.0,18.0,17.0,16.0,13.0,18.0,12.0,50.0,3.0
wh_vs_that_no_gap_long_distance,4.0,12.0,22.0,10.0,6.0,49.0,71.0,363.0,6.0,1228.0,42.0,32.0,8.0,10.0,43.0,36.0,8.0,163.0,1.0,31.0,5.0,24.0,7.0,36.0,852.0,48.0,71.0,4.0,5.0,21.0,85.0,26.0,0.0,59.0,11.0,5.0,12.0,5.0,31.0,42.0,2.0,324.0,9.0,51.0,18.0,0.0,15.0,33.0,54.0,67.0,8.0,12.0,22.0,24.0,48.0,10.0,0.0,85.0,5.0,3.0,48.0,11.0,0.0,0.0,7.0,6.0,21.0
sentential_negation_npi_licensor_present,4.0,7.0,20.0,11.0,14.0,28.0,66.0,16.0,26.0,42.0,1228.0,13.0,23.0,13.0,35.0,10.0,6.0,17.0,2.0,56.0,3.0,40.0,22.0,14.0,35.0,60.0,52.0,19.0,23.0,13.0,55.0,35.0,5.0,24.0,25.0,14.0,14.0,6.0,5.0,24.0,8.0,12.0,24.0,3.0,6.0,1.0,17.0,7.0,31.0,46.0,22.0,30.0,14.0,7.0,38.0,5.0,6.0,241.0,1.0,15.0,16.0,6.0,6.0,8.0,23.0,22.0,55.0
principle_A_case_2,1.0,49.0,125.0,72.0,55.0,123.0,99.0,16.0,13.0,32.0,13.0,1228.0,42.0,15.0,32.0,7.0,3.0,26.0,21.0,86.0,22.0,26.0,59.0,51.0,28.0,80.0,133.0,58.0,10.0,64.0,48.0,46.0,22.0,16.0,65.0,57.0,19.0,29.0,54.0,97.0,15.0,27.0,54.0,14.0,12.0,7.0,37.0,66.0,119.0,55.0,45.0,10.0,26.0,7.0,142.0,5.0,20.0,26.0,11.0,25.0,49.0,12.0,10.0,23.0,111.0,3.0,44.0
determiner_noun_agreement_2,0.0,19.0,108.0,56.0,1002.0,54.0,65.0,5.0,10.0,8.0,23.0,42.0,1228.0,145.0,8.0,0.0,0.0,48.0,256.0,48.0,441.0,8.0,781.0,6.0,7.0,41.0,64.0,884.0,2.0,41.0,21.0,220.0,210.0,3.0,807.0,983.0,151.0,19.0,2.0,55.0,105.0,6.0,864.0,4.0,0.0,131.0,7.0,1.0,115.0,12.0,1115.0,9.0,3.0,0.0,40.0,0.0,188.0,30.0,170.0,126.0,36.0,0.0,121.0,163.0,76.0,0.0,14.0
principle_A_reconstruction,27.0,20.0,30.0,10.0,145.0,24.0,43.0,13.0,10.0,10.0,13.0,15.0,145.0,1228.0,7.0,10.0,12.0,95.0,82.0,19.0,83.0,35.0,146.0,18.0,10.0,34.0,30.0,146.0,13.0,13.0,27.0,78.0,66.0,23.0,152.0,142.0,49.0,25.0,11.0,22.0,22.0,8.0,148.0,9.0,16.0,60.0,7.0,1.0,27.0,17.0,148.0,14.0,17.0,11.0,24.0,15.0,24.0,30.0,343.0,27.0,26.0,14.0,51.0,57.0,22.0,5.0,14.0
