,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
adjunct_island,675.0,8.0,3.0,3.0,14.0,10.0,8.0,17.0,2.0,12.0,7.0,39.0,16.0,19.0,11.0,13.0,18.0,34.0,3.0,16.0,41.0,16.0,8.0,10.0,19.0,7.0,10.0,5.0,31.0,0.0,9.0,8.0,28.0,4.0,10.0,14.0,22.0,24.0,7.0,10.0,43.0,12.0,9.0,11.0,0.0,21.0,9.0,8.0,25.0,3.0,14.0,9.0,27.0,7.0,12.0,35.0,26.0,4.0,19.0,30.0,13.0,75.0,12.0,14.0,9.0,6.0,21.0
principle_A_c_command,8.0,675.0,87.0,58.0,30.0,45.0,73.0,4.0,15.0,20.0,10.0,16.0,31.0,20.0,12.0,18.0,12.0,13.0,14.0,13.0,23.0,6.0,26.0,26.0,12.0,44.0,15.0,23.0,28.0,33.0,8.0,17.0,18.0,19.0,32.0,32.0,7.0,5.0,9.0,44.0,23.0,5.0,27.0,17.0,13.0,26.0,8.0,20.0,17.0,6.0,32.0,8.0,16.0,17.0,44.0,4.0,32.0,14.0,15.0,44.0,21.0,25.0,5.0,12.0,15.0,8.0,16.0
anaphor_number_agreement,3.0,87.0,675.0,40.0,89.0,130.0,116.0,5.0,11.0,14.0,12.0,56.0,79.0,3.0,36.0,21.0,4.0,3.0,26.0,25.0,7.0,1.0,103.0,55.0,14.0,130.0,97.0,79.0,1.0,28.0,38.0,47.0,15.0,28.0,106.0,91.0,5.0,80.0,28.0,119.0,25.0,14.0,76.0,11.0,7.0,10.0,13.0,57.0,39.0,28.0,84.0,15.0,3.0,16.0,149.0,1.0,45.0,15.0,1.0,47.0,20.0,1.0,16.0,25.0,35.0,1.0,10.0
principle_A_domain_2,3.0,58.0,40.0,675.0,25.0,22.0,39.0,4.0,5.0,25.0,17.0,26.0,20.0,5.0,15.0,19.0,4.0,1.0,24.0,18.0,11.0,3.0,18.0,32.0,32.0,26.0,26.0,20.0,2.0,235.0,36.0,15.0,9.0,17.0,20.0,26.0,3.0,6.0,4.0,20.0,10.0,14.0,18.0,12.0,11.0,5.0,7.0,44.0,34.0,30.0,20.0,5.0,3.0,16.0,25.0,1.0,21.0,21.0,8.0,27.0,12.0,2.0,17.0,20.0,22.0,0.0,6.0
determiner_noun_agreement_with_adjective_1,14.0,30.0,89.0,25.0,675.0,242.0,226.0,7.0,23.0,53.0,22.0,128.0,486.0,5.0,70.0,50.0,11.0,5.0,49.0,51.0,16.0,4.0,465.0,98.0,36.0,225.0,140.0,416.0,2.0,24.0,77.0,76.0,25.0,75.0,473.0,593.0,28.0,26.0,46.0,248.0,83.0,23.0,404.0,19.0,39.0,3.0,37.0,87.0,135.0,66.0,493.0,18.0,6.0,41.0,224.0,4.0,134.0,11.0,2.0,110.0,55.0,9.0,75.0,118.0,80.0,2.0,8.0
irregular_plural_subject_verb_agreement_2,10.0,45.0,130.0,22.0,242.0,675.0,252.0,7.0,23.0,44.0,19.0,113.0,226.0,6.0,55.0,54.0,11.0,3.0,38.0,46.0,3.0,1.0,222.0,97.0,27.0,337.0,194.0,194.0,0.0,21.0,67.0,74.0,16.0,80.0,246.0,245.0,15.0,49.0,72.0,517.0,56.0,19.0,196.0,32.0,33.0,2.0,36.0,83.0,92.0,63.0,225.0,14.0,4.0,53.0,369.0,4.0,110.0,14.0,0.0,101.0,57.0,6.0,43.0,66.0,58.0,0.0,7.0
distractor_agreement_relative_clause,8.0,73.0,116.0,39.0,226.0,252.0,675.0,13.0,22.0,100.0,34.0,99.0,196.0,1.0,74.0,51.0,5.0,6.0,35.0,41.0,6.0,4.0,198.0,109.0,53.0,290.0,159.0,167.0,0.0,28.0,73.0,50.0,20.0,93.0,212.0,229.0,13.0,23.0,47.0,256.0,54.0,50.0,158.0,18.0,20.0,0.0,29.0,64.0,102.0,59.0,198.0,23.0,4.0,43.0,268.0,1.0,96.0,33.0,0.0,98.0,58.0,2.0,27.0,50.0,75.0,5.0,25.0
wh_questions_subject_gap_long_distance,17.0,4.0,5.0,4.0,7.0,7.0,13.0,675.0,8.0,75.0,12.0,14.0,11.0,11.0,6.0,16.0,7.0,65.0,13.0,11.0,16.0,11.0,10.0,8.0,73.0,5.0,8.0,6.0,18.0,4.0,5.0,4.0,20.0,16.0,5.0,9.0,14.0,7.0,8.0,7.0,4.0,225.0,10.0,23.0,9.0,14.0,7.0,1.0,9.0,7.0,9.0,12.0,26.0,14.0,5.0,23.0,5.0,18.0,8.0,8.0,13.0,12.0,2.0,10.0,6.0,16.0,16.0
left_branch_island_simple_question,2.0,15.0,11.0,5.0,23.0,23.0,22.0,8.0,675.0,10.0,7.0,8.0,24.0,60.0,7.0,14.0,27.0,64.0,8.0,7.0,7.0,14.0,30.0,13.0,5.0,18.0,12.0,28.0,6.0,10.0,5.0,28.0,19.0,25.0,29.0,23.0,12.0,4.0,8.0,24.0,18.0,8.0,30.0,12.0,102.0,16.0,17.0,27.0,18.0,12.0,25.0,158.0,8.0,11.0,13.0,15.0,28.0,5.0,35.0,16.0,11.0,19.0,21.0,28.0,12.0,27.0,10.0
wh_vs_that_no_gap_long_distance,12.0,20.0,14.0,25.0,53.0,44.0,100.0,75.0,10.0,675.0,48.0,60.0,55.0,5.0,23.0,39.0,3.0,16.0,20.0,36.0,11.0,7.0,45.0,32.0,367.0,39.0,47.0,40.0,1.0,38.0,90.0,24.0,12.0,47.0,43.0,56.0,13.0,9.0,10.0,54.0,29.0,133.0,34.0,28.0,5.0,2.0,22.0,31.0,80.0,63.0,48.0,16.0,4.0,45.0,54.0,10.0,52.0,69.0,5.0,58.0,26.0,3.0,7.0,10.0,40.0,6.0,21.0
