,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
adjunct_island,983.0,49.0,7.0,9.0,5.0,0.0,0.0,20.0,14.0,11.0,3.0,15.0,7.0,49.0,18.0,9.0,37.0,55.0,27.0,10.0,63.0,14.0,2.0,0.0,9.0,4.0,4.0,6.0,42.0,1.0,1.0,14.0,38.0,8.0,1.0,4.0,31.0,51.0,15.0,0.0,43.0,18.0,6.0,21.0,10.0,90.0,19.0,21.0,7.0,1.0,7.0,11.0,26.0,8.0,1.0,78.0,42.0,7.0,37.0,28.0,36.0,85.0,36.0,39.0,18.0,12.0,17.0
principle_A_c_command,49.0,983.0,122.0,73.0,52.0,90.0,109.0,12.0,27.0,16.0,8.0,50.0,54.0,72.0,14.0,22.0,28.0,70.0,10.0,29.0,58.0,16.0,55.0,44.0,15.0,100.0,64.0,48.0,36.0,32.0,6.0,55.0,39.0,17.0,56.0,59.0,16.0,21.0,54.0,89.0,32.0,32.0,48.0,14.0,28.0,116.0,16.0,35.0,37.0,23.0,53.0,7.0,24.0,19.0,98.0,109.0,46.0,11.0,38.0,46.0,22.0,30.0,7.0,26.0,28.0,7.0,23.0
anaphor_number_agreement,7.0,122.0,983.0,65.0,283.0,367.0,343.0,2.0,30.0,82.0,1.0,278.0,230.0,0.0,12.0,31.0,3.0,8.0,49.0,84.0,1.0,3.0,297.0,202.0,66.0,394.0,331.0,270.0,4.0,53.0,64.0,132.0,10.0,58.0,314.0,312.0,3.0,144.0,220.0,378.0,76.0,77.0,241.0,29.0,10.0,7.0,17.0,137.0,167.0,116.0,251.0,18.0,2.0,11.0,436.0,2.0,167.0,1.0,3.0,150.0,24.0,3.0,8.0,98.0,91.0,2.0,4.0
principle_A_domain_2,9.0,73.0,65.0,983.0,35.0,38.0,55.0,5.0,10.0,13.0,16.0,33.0,33.0,4.0,12.0,8.0,9.0,1.0,21.0,30.0,9.0,10.0,32.0,37.0,17.0,55.0,29.0,28.0,9.0,372.0,38.0,30.0,9.0,36.0,35.0,31.0,5.0,11.0,20.0,42.0,24.0,12.0,27.0,6.0,18.0,16.0,6.0,29.0,29.0,41.0,32.0,13.0,6.0,4.0,52.0,6.0,30.0,7.0,6.0,16.0,6.0,2.0,15.0,28.0,39.0,9.0,8.0
determiner_noun_agreement_with_adjective_1,5.0,52.0,283.0,35.0,983.0,414.0,443.0,9.0,50.0,109.0,24.0,365.0,727.0,2.0,19.0,31.0,5.0,18.0,90.0,94.0,13.0,11.0,756.0,206.0,93.0,453.0,309.0,684.0,5.0,49.0,59.0,187.0,40.0,54.0,773.0,858.0,33.0,60.0,314.0,455.0,111.0,115.0,680.0,36.0,9.0,0.0,10.0,135.0,219.0,110.0,751.0,39.0,2.0,18.0,466.0,2.0,246.0,15.0,1.0,193.0,31.0,5.0,51.0,233.0,104.0,2.0,12.0
irregular_plural_subject_verb_agreement_2,0.0,90.0,367.0,38.0,414.0,983.0,430.0,4.0,34.0,90.0,20.0,303.0,355.0,0.0,13.0,35.0,1.0,7.0,48.0,90.0,1.0,1.0,392.0,228.0,74.0,503.0,425.0,382.0,1.0,46.0,58.0,161.0,17.0,61.0,426.0,424.0,12.0,93.0,301.0,798.0,119.0,72.0,365.0,39.0,14.0,0.0,17.0,139.0,175.0,121.0,380.0,21.0,2.0,14.0,605.0,1.0,213.0,10.0,0.0,173.0,37.0,2.0,22.0,157.0,96.0,0.0,2.0
distractor_agreement_relative_clause,0.0,109.0,343.0,55.0,443.0,430.0,983.0,11.0,42.0,144.0,34.0,348.0,386.0,0.0,16.0,30.0,3.0,19.0,49.0,74.0,0.0,10.0,433.0,268.0,116.0,531.0,322.0,410.0,6.0,33.0,74.0,147.0,36.0,96.0,440.0,469.0,9.0,62.0,299.0,447.0,90.0,121.0,402.0,30.0,8.0,0.0,6.0,127.0,189.0,131.0,403.0,35.0,2.0,18.0,521.0,1.0,207.0,25.0,1.0,162.0,42.0,8.0,26.0,153.0,102.0,0.0,10.0
wh_questions_subject_gap_long_distance,20.0,12.0,2.0,5.0,9.0,4.0,11.0,983.0,15.0,112.0,27.0,14.0,14.0,14.0,25.0,25.0,18.0,78.0,26.0,20.0,22.0,12.0,6.0,18.0,97.0,8.0,10.0,5.0,17.0,7.0,11.0,24.0,31.0,10.0,5.0,9.0,21.0,7.0,7.0,4.0,13.0,221.0,8.0,37.0,17.0,4.0,10.0,20.0,23.0,7.0,10.0,14.0,29.0,33.0,3.0,11.0,18.0,24.0,14.0,14.0,18.0,8.0,10.0,11.0,10.0,21.0,16.0
left_branch_island_simple_question,14.0,27.0,30.0,10.0,50.0,34.0,42.0,15.0,983.0,37.0,13.0,46.0,50.0,56.0,24.0,16.0,52.0,91.0,22.0,22.0,23.0,7.0,45.0,44.0,36.0,39.0,32.0,45.0,25.0,9.0,22.0,38.0,32.0,34.0,48.0,47.0,19.0,15.0,35.0,34.0,18.0,41.0,51.0,18.0,139.0,23.0,12.0,27.0,33.0,29.0,51.0,246.0,8.0,19.0,35.0,19.0,38.0,18.0,38.0,35.0,17.0,50.0,26.0,32.0,25.0,49.0,13.0
wh_vs_that_no_gap_long_distance,11.0,16.0,82.0,13.0,109.0,90.0,144.0,112.0,37.0,983.0,59.0,148.0,123.0,5.0,15.0,34.0,10.0,41.0,49.0,51.0,21.0,24.0,90.0,112.0,488.0,97.0,95.0,109.0,9.0,17.0,93.0,58.0,31.0,80.0,100.0,109.0,19.0,16.0,72.0,96.0,38.0,210.0,113.0,26.0,12.0,0.0,30.0,59.0,96.0,83.0,124.0,39.0,3.0,40.0,104.0,4.0,101.0,77.0,6.0,87.0,44.0,10.0,0.0,36.0,61.0,13.0,11.0
