,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
adjunct_island,768.0,7.0,0.0,7.0,18.0,15.0,16.0,29.0,8.0,18.0,18.0,22.0,22.0,12.0,1.0,2.0,24.0,13.0,28.0,28.0,90.0,13.0,15.0,13.0,18.0,6.0,7.0,10.0,11.0,4.0,4.0,5.0,34.0,8.0,14.0,20.0,24.0,8.0,5.0,10.0,61.0,26.0,13.0,19.0,4.0,2.0,8.0,16.0,28.0,7.0,20.0,19.0,0.0,3.0,2.0,25.0,71.0,17.0,15.0,79.0,9.0,82.0,21.0,61.0,21.0,45.0,2.0
principle_A_c_command,7.0,768.0,10.0,57.0,0.0,14.0,25.0,6.0,23.0,8.0,3.0,3.0,0.0,22.0,0.0,8.0,8.0,11.0,0.0,3.0,5.0,9.0,0.0,19.0,6.0,3.0,2.0,0.0,27.0,27.0,2.0,6.0,14.0,10.0,0.0,0.0,11.0,0.0,16.0,9.0,2.0,10.0,0.0,14.0,11.0,11.0,3.0,9.0,12.0,14.0,0.0,21.0,9.0,5.0,9.0,3.0,2.0,1.0,11.0,0.0,1.0,12.0,14.0,5.0,3.0,4.0,20.0
anaphor_number_agreement,0.0,10.0,768.0,12.0,18.0,47.0,47.0,1.0,19.0,9.0,6.0,21.0,23.0,0.0,14.0,20.0,18.0,1.0,10.0,8.0,3.0,5.0,40.0,32.0,6.0,92.0,133.0,18.0,2.0,17.0,9.0,27.0,6.0,23.0,19.0,20.0,8.0,29.0,24.0,47.0,5.0,2.0,19.0,0.0,2.0,2.0,14.0,13.0,15.0,23.0,22.0,27.0,0.0,27.0,70.0,0.0,17.0,5.0,0.0,17.0,28.0,1.0,1.0,3.0,15.0,1.0,0.0
principle_A_domain_2,7.0,57.0,12.0,768.0,10.0,15.0,13.0,10.0,12.0,35.0,18.0,17.0,10.0,19.0,2.0,19.0,3.0,33.0,14.0,9.0,19.0,2.0,10.0,29.0,36.0,6.0,5.0,6.0,9.0,169.0,20.0,14.0,25.0,39.0,7.0,7.0,4.0,0.0,9.0,9.0,23.0,14.0,6.0,1.0,41.0,5.0,3.0,36.0,29.0,24.0,7.0,12.0,3.0,19.0,9.0,16.0,17.0,8.0,41.0,16.0,5.0,11.0,26.0,29.0,24.0,10.0,2.0
determiner_noun_agreement_with_adjective_1,18.0,0.0,18.0,10.0,768.0,167.0,173.0,12.0,31.0,13.0,15.0,65.0,586.0,3.0,17.0,31.0,29.0,4.0,30.0,38.0,15.0,0.0,549.0,41.0,25.0,180.0,92.0,492.0,7.0,30.0,6.0,58.0,26.0,34.0,576.0,667.0,19.0,7.0,73.0,208.0,57.0,8.0,535.0,8.0,13.0,0.0,13.0,28.0,59.0,73.0,588.0,20.0,12.0,28.0,177.0,14.0,78.0,29.0,7.0,83.0,83.0,0.0,27.0,24.0,68.0,5.0,0.0
irregular_plural_subject_verb_agreement_2,15.0,14.0,47.0,15.0,167.0,768.0,276.0,1.0,14.0,23.0,19.0,73.0,160.0,1.0,15.0,30.0,20.0,1.0,7.0,50.0,0.0,3.0,147.0,62.0,29.0,301.0,147.0,143.0,1.0,16.0,0.0,59.0,13.0,44.0,150.0,171.0,9.0,10.0,146.0,576.0,58.0,3.0,133.0,3.0,8.0,0.0,17.0,16.0,39.0,58.0,153.0,17.0,0.0,20.0,425.0,2.0,59.0,25.0,2.0,72.0,106.0,8.0,16.0,11.0,20.0,0.0,0.0
distractor_agreement_relative_clause,16.0,25.0,47.0,13.0,173.0,276.0,768.0,3.0,33.0,41.0,19.0,83.0,155.0,1.0,9.0,26.0,17.0,2.0,6.0,69.0,1.0,2.0,156.0,75.0,31.0,261.0,115.0,121.0,3.0,18.0,7.0,43.0,30.0,45.0,155.0,162.0,3.0,7.0,92.0,290.0,70.0,4.0,131.0,2.0,19.0,0.0,18.0,22.0,52.0,70.0,152.0,23.0,1.0,18.0,261.0,5.0,55.0,37.0,0.0,58.0,70.0,8.0,35.0,28.0,42.0,2.0,0.0
wh_questions_subject_gap_long_distance,29.0,6.0,1.0,10.0,12.0,1.0,3.0,768.0,18.0,64.0,14.0,8.0,12.0,34.0,7.0,14.0,10.0,107.0,13.0,4.0,33.0,10.0,10.0,2.0,68.0,0.0,0.0,8.0,11.0,12.0,2.0,5.0,28.0,5.0,10.0,11.0,15.0,7.0,8.0,0.0,15.0,259.0,9.0,26.0,13.0,2.0,5.0,10.0,7.0,3.0,9.0,6.0,2.0,13.0,0.0,16.0,14.0,13.0,39.0,7.0,1.0,26.0,8.0,10.0,12.0,22.0,15.0
left_branch_island_simple_question,8.0,23.0,19.0,12.0,31.0,14.0,33.0,18.0,768.0,10.0,9.0,24.0,36.0,63.0,0.0,0.0,15.0,64.0,13.0,6.0,10.0,1.0,38.0,29.0,8.0,8.0,3.0,30.0,9.0,7.0,14.0,11.0,24.0,14.0,30.0,30.0,8.0,2.0,20.0,9.0,21.0,9.0,36.0,8.0,136.0,0.0,6.0,26.0,24.0,37.0,31.0,218.0,0.0,2.0,13.0,19.0,25.0,12.0,52.0,18.0,11.0,8.0,41.0,27.0,20.0,46.0,5.0
wh_vs_that_no_gap_long_distance,18.0,8.0,9.0,35.0,13.0,23.0,41.0,64.0,10.0,768.0,79.0,58.0,13.0,7.0,6.0,23.0,17.0,27.0,11.0,42.0,15.0,17.0,14.0,44.0,500.0,7.0,11.0,8.0,9.0,33.0,42.0,8.0,25.0,36.0,15.0,13.0,18.0,9.0,10.0,18.0,26.0,82.0,12.0,17.0,10.0,0.0,6.0,58.0,48.0,34.0,11.0,12.0,1.0,13.0,7.0,23.0,36.0,87.0,17.0,33.0,14.0,2.0,0.0,2.0,15.0,11.0,1.0
