,extraposition,anaphor_agreement,quantifiers,argument_structure,binding_principle_a,infinitival_argument_clause,topicalization,complementive,r_words,auxiliaries,wh_movement_restrictions,wh_movement,verb_second,parasitic_gaps,crossing_dependencies,adpositional_phrases,passive,determiners,adverbial_modification,relativization,nominalization,finite_argument_clause
adjunct_island,6.0,3.0,2.0,3.0,0.0,6.0,6.0,3.0,5.0,16.0,0.0,0.0,0.0,33.0,8.0,1.0,2.0,1.0,0.0,9.0,12.0,4.0
principle_A_c_command,17.0,8.0,8.0,49.0,12.0,32.0,16.0,7.0,9.0,16.0,5.0,10.0,17.0,12.0,15.0,25.0,19.0,20.0,25.0,21.0,2.0,9.0
anaphor_number_agreement,23.0,19.0,37.0,56.0,21.0,76.0,10.0,13.0,6.0,41.0,12.0,12.0,12.0,8.0,42.0,36.0,18.0,65.0,26.0,31.0,1.0,11.0
principle_A_domain_2,15.0,12.0,16.0,48.0,12.0,51.0,20.0,6.0,11.0,13.0,11.0,13.0,5.0,4.0,34.0,28.0,20.0,28.0,15.0,27.0,12.0,12.0
determiner_noun_agreement_with_adjective_1,32.0,9.0,32.0,70.0,15.0,57.0,16.0,11.0,17.0,47.0,10.0,5.0,11.0,12.0,43.0,39.0,18.0,36.0,18.0,34.0,13.0,9.0
irregular_plural_subject_verb_agreement_2,17.0,44.0,33.0,59.0,44.0,76.0,22.0,16.0,9.0,35.0,12.0,20.0,47.0,1.0,54.0,26.0,23.0,35.0,54.0,59.0,4.0,3.0
distractor_agreement_relative_clause,28.0,19.0,38.0,57.0,15.0,53.0,24.0,14.0,16.0,29.0,11.0,16.0,24.0,16.0,40.0,34.0,17.0,42.0,30.0,33.0,4.0,21.0
wh_questions_subject_gap_long_distance,3.0,0.0,2.0,15.0,1.0,16.0,14.0,9.0,10.0,19.0,1.0,2.0,5.0,29.0,7.0,6.0,4.0,3.0,1.0,29.0,15.0,8.0
left_branch_island_simple_question,28.0,12.0,6.0,45.0,11.0,29.0,26.0,21.0,9.0,21.0,29.0,33.0,17.0,23.0,20.0,25.0,14.0,24.0,22.0,18.0,7.0,10.0
wh_vs_that_no_gap_long_distance,9.0,17.0,14.0,36.0,7.0,46.0,25.0,9.0,12.0,11.0,7.0,13.0,12.0,18.0,27.0,24.0,19.0,27.0,13.0,32.0,10.0,17.0
sentential_negation_npi_licensor_present,26.0,17.0,12.0,19.0,7.0,31.0,13.0,18.0,9.0,26.0,8.0,7.0,12.0,15.0,22.0,37.0,12.0,75.0,10.0,14.0,7.0,8.0
principle_A_case_2,21.0,24.0,25.0,53.0,17.0,65.0,21.0,11.0,8.0,41.0,2.0,3.0,18.0,7.0,37.0,34.0,10.0,43.0,23.0,40.0,5.0,25.0
determiner_noun_agreement_2,29.0,8.0,29.0,70.0,15.0,55.0,11.0,13.0,20.0,53.0,11.0,6.0,14.0,13.0,44.0,38.0,18.0,31.0,28.0,28.0,12.0,6.0
principle_A_reconstruction,11.0,3.0,1.0,16.0,0.0,8.0,4.0,5.0,4.0,14.0,0.0,1.0,0.0,46.0,1.0,3.0,2.0,1.0,1.0,6.0,8.0,19.0
existential_there_quantifiers_1,19.0,15.0,30.0,46.0,19.0,62.0,20.0,7.0,11.0,25.0,11.0,8.0,20.0,1.0,41.0,33.0,14.0,37.0,23.0,24.0,2.0,25.0
npi_present_2,19.0,16.0,15.0,67.0,29.0,53.0,22.0,13.0,25.0,26.0,14.0,8.0,11.0,4.0,37.0,23.0,13.0,29.0,18.0,23.0,13.0,24.0
wh_island,20.0,5.0,8.0,12.0,11.0,9.0,11.0,12.0,12.0,21.0,14.0,10.0,4.0,25.0,7.0,13.0,4.0,12.0,4.0,22.0,14.0,11.0
wh_questions_object_gap,7.0,2.0,2.0,15.0,0.0,8.0,7.0,3.0,2.0,13.0,1.0,3.0,2.0,24.0,4.0,8.0,8.0,7.0,2.0,15.0,7.0,2.0
tough_vs_raising_1,29.0,8.0,14.0,59.0,24.0,74.0,17.0,29.0,19.0,45.0,3.0,9.0,19.0,16.0,40.0,31.0,16.0,49.0,27.0,37.0,12.0,8.0
passive_1,18.0,20.0,24.0,67.0,12.0,57.0,26.0,25.0,7.0,37.0,8.0,14.0,18.0,9.0,34.0,33.0,8.0,42.0,22.0,28.0,10.0,27.0
ellipsis_n_bar_2,25.0,2.0,7.0,62.0,11.0,41.0,15.0,18.0,3.0,38.0,2.0,5.0,3.0,30.0,26.0,22.0,7.0,27.0,15.0,21.0,17.0,8.0
only_npi_scope,12.0,12.0,20.0,20.0,7.0,14.0,13.0,27.0,18.0,17.0,8.0,12.0,14.0,6.0,32.0,26.0,15.0,29.0,9.0,17.0,9.0,9.0
determiner_noun_agreement_with_adj_irregular_1,34.0,13.0,37.0,74.0,16.0,65.0,13.0,13.0,16.0,55.0,14.0,11.0,12.0,15.0,46.0,41.0,14.0,34.0,19.0,31.0,10.0,14.0
existential_there_subject_raising,19.0,17.0,16.0,51.0,33.0,66.0,23.0,7.0,14.0,32.0,8.0,9.0,20.0,10.0,33.0,34.0,23.0,41.0,28.0,33.0,5.0,28.0
wh_vs_that_no_gap,11.0,14.0,13.0,46.0,4.0,48.0,22.0,13.0,9.0,23.0,5.0,14.0,15.0,15.0,35.0,20.0,18.0,28.0,16.0,32.0,13.0,20.0
distractor_agreement_relational_noun,21.0,37.0,35.0,38.0,35.0,42.0,29.0,14.0,16.0,29.0,11.0,15.0,45.0,11.0,44.0,24.0,12.0,32.0,42.0,51.0,4.0,10.0
regular_plural_subject_verb_agreement_1,27.0,46.0,40.0,54.0,33.0,66.0,32.0,15.0,3.0,34.0,9.0,13.0,41.0,1.0,61.0,22.0,13.0,30.0,41.0,55.0,2.0,16.0
determiner_noun_agreement_irregular_1,30.0,12.0,35.0,69.0,19.0,68.0,9.0,16.0,13.0,55.0,14.0,10.0,15.0,11.0,41.0,43.0,17.0,41.0,28.0,30.0,11.0,4.0
superlative_quantifiers_1,11.0,2.0,3.0,8.0,1.0,9.0,7.0,6.0,9.0,9.0,2.0,1.0,0.0,29.0,10.0,11.0,2.0,11.0,1.0,11.0,14.0,5.0
principle_A_domain_3,11.0,15.0,9.0,29.0,15.0,29.0,18.0,8.0,6.0,10.0,4.0,8.0,9.0,5.0,21.0,25.0,16.0,13.0,14.0,25.0,8.0,10.0
expletive_it_object_raising,14.0,22.0,12.0,48.0,19.0,52.0,26.0,15.0,3.0,20.0,3.0,4.0,15.0,8.0,24.0,27.0,11.0,35.0,21.0,32.0,5.0,25.0
passive_2,27.0,12.0,28.0,69.0,23.0,88.0,17.0,21.0,7.0,46.0,6.0,8.0,11.0,2.0,37.0,28.0,14.0,52.0,29.0,26.0,12.0,11.0
ellipsis_n_bar_1,18.0,6.0,7.0,41.0,2.0,33.0,3.0,7.0,5.0,7.0,1.0,4.0,2.0,25.0,19.0,14.0,5.0,10.0,8.0,17.0,3.0,12.0
tough_vs_raising_2,28.0,11.0,10.0,52.0,8.0,30.0,20.0,6.0,12.0,51.0,5.0,6.0,6.0,9.0,39.0,35.0,14.0,37.0,8.0,29.0,13.0,25.0
determiner_noun_agreement_with_adj_irregular_2,31.0,11.0,34.0,72.0,17.0,64.0,13.0,11.0,18.0,49.0,13.0,9.0,13.0,13.0,44.0,40.0,15.0,40.0,21.0,33.0,11.0,11.0
determiner_noun_agreement_with_adj_2,33.0,9.0,25.0,71.0,13.0,61.0,16.0,13.0,17.0,50.0,12.0,7.0,13.0,11.0,44.0,41.0,17.0,37.0,20.0,30.0,12.0,10.0
