,finite_argument_clause__sluicing_2,complementive__position_adverb,finite_argument_clause__perception_of,r_words__adverbial,argument_structure__intransitive_unaccusative_1,wh_movement__filler_effect_gap,passive__impersonal,topicalization__question_similarity_1,relativization__island,wh_movement_restrictions__resumptive_prolepsis,r_words__weak_proform,wh_movement_restrictions__bridge_verb_2,topicalization__resumptive_prolepsis,argument_structure__argument_number_ditransitive,adpositional_phrases__argument_scrambling,relativization__resumptive_prolepsis,quantifiers__universal_difference_agreement_singular,infinitival_argument_clause__bare_verb_cluster,infinitival_argument_clause__te_om_te_difference_1,complementive__transitive,parasitic_gaps__scrambling,parasitic_gaps__structure_type_1,quantifiers__universal_difference_agreement_plural,nominalization__type_inf_1,infinitival_argument_clause__bare_verb_type_1,wh_movement__filler_effect_no_gap,auxiliaries__order_1,adpositional_phrases__argument_r_extraction,complementive__ditransitive,complementive__position_verb,infinitival_argument_clause__verb_type,extraposition__adjectival_supplementive,adverbial_modification__position_type,anaphor_agreement__person,auxiliaries__semi_aspectual_2,argument_structure__ditransitive_nomdat_1,passive__ditransitive_2,determiners__geen_scrambling_1,crossing_dependencies__cross_dependency,finite_argument_clause__position,passive__aci,infinitival_argument_clause__te_transparant_split,wh_movement_restrictions__island_2,verb_second__order_embedded,wh_movement__stranding_1,passive__ditransitive_1,infinitival_argument_clause__bare_verb_type_3,determiners__geen_scrambling_2,argument_structure__argument_number_in_transitive,binding_principle_a__monomorphemic,argument_structure__ditransitive_nomdat_2,infinitival_argument_clause__om_te,verb_second__order_main,parasitic_gaps__structure_type_3,anaphor_agreement__number,wh_movement_restrictions__island_1,wh_movement__hierarchy,finite_argument_clause__perception_dat,wh_movement__stranding_2,adverbial_modification__position_proform,auxiliaries__order_2,determiners__negative_polarity,complementive__intransitive,argument_structure__intransitive_unaccusative_3,auxiliaries__semi_aspectual_1,infinitival_argument_clause__te_om_te_difference_2,wh_movement_restrictions__superiority,parasitic_gaps__structure_type_2,determiners__geen_expletive,argument_structure__ditransitive_nomdat_3,infinitival_argument_clause__bare_verb_type_2,nominalization__type_inf_2,finite_argument_clause__sluicing_1,extraposition__argument_nominal,wh_movement__question_formation,extraposition__adjectival_adverbial,argument_structure__intransitive_unaccusative_2,topicalization__island,auxiliaries__perfect,finite_argument_clause__complementizer,binding_principle_a__c_command,relativization__pied_piping,topicalization__question_similarity_2,wh_movement_restrictions__bridge_verb_1
finite_argument_clause__sluicing_2,870.0,20.0,8.0,6.0,0.0,13.0,10.0,11.0,3.0,5.0,13.0,9.0,23.0,20.0,2.0,4.0,3.0,5.0,6.0,16.0,17.0,2.0,10.0,1.0,8.0,10.0,2.0,9.0,11.0,23.0,11.0,29.0,22.0,15.0,4.0,1.0,2.0,12.0,0.0,25.0,6.0,7.0,6.0,2.0,4.0,2.0,12.0,9.0,33.0,4.0,6.0,3.0,13.0,3.0,1.0,18.0,3.0,8.0,6.0,2.0,23.0,7.0,6.0,0.0,4.0,6.0,6.0,9.0,22.0,6.0,4.0,13.0,38.0,8.0,3.0,4.0,0.0,3.0,6.0,15.0,0.0,4.0,4.0,19.0
complementive__position_adverb,20.0,870.0,18.0,7.0,67.0,20.0,8.0,17.0,14.0,19.0,21.0,2.0,43.0,84.0,35.0,24.0,18.0,235.0,14.0,70.0,31.0,0.0,1.0,7.0,9.0,35.0,23.0,17.0,15.0,321.0,18.0,104.0,298.0,98.0,27.0,0.0,10.0,36.0,109.0,11.0,43.0,94.0,19.0,196.0,4.0,0.0,63.0,157.0,49.0,88.0,56.0,8.0,154.0,0.0,8.0,14.0,55.0,89.0,18.0,182.0,57.0,6.0,18.0,0.0,94.0,13.0,22.0,20.0,27.0,37.0,54.0,15.0,15.0,15.0,31.0,68.0,0.0,24.0,59.0,110.0,30.0,69.0,88.0,6.0
finite_argument_clause__perception_of,8.0,18.0,870.0,8.0,4.0,5.0,17.0,20.0,5.0,4.0,13.0,3.0,6.0,16.0,8.0,5.0,9.0,10.0,1.0,38.0,8.0,1.0,0.0,3.0,9.0,13.0,13.0,10.0,4.0,20.0,12.0,6.0,13.0,13.0,43.0,5.0,5.0,5.0,9.0,8.0,6.0,7.0,8.0,15.0,2.0,8.0,2.0,8.0,7.0,8.0,9.0,4.0,11.0,0.0,11.0,6.0,11.0,0.0,3.0,11.0,30.0,7.0,29.0,3.0,6.0,5.0,20.0,2.0,10.0,6.0,8.0,8.0,9.0,12.0,18.0,8.0,1.0,9.0,10.0,4.0,15.0,13.0,9.0,4.0
r_words__adverbial,6.0,7.0,8.0,870.0,2.0,23.0,3.0,29.0,20.0,0.0,6.0,20.0,11.0,12.0,30.0,10.0,18.0,7.0,14.0,15.0,51.0,28.0,22.0,43.0,25.0,8.0,76.0,5.0,8.0,20.0,21.0,7.0,3.0,0.0,7.0,20.0,31.0,29.0,8.0,20.0,6.0,21.0,19.0,1.0,55.0,18.0,8.0,8.0,16.0,0.0,35.0,64.0,3.0,2.0,10.0,14.0,19.0,10.0,26.0,2.0,21.0,6.0,50.0,26.0,15.0,6.0,42.0,31.0,35.0,60.0,24.0,21.0,9.0,17.0,15.0,20.0,14.0,15.0,53.0,29.0,2.0,15.0,21.0,28.0
argument_structure__intransitive_unaccusative_1,0.0,67.0,4.0,2.0,870.0,7.0,20.0,9.0,12.0,16.0,16.0,9.0,19.0,74.0,27.0,24.0,18.0,148.0,19.0,20.0,12.0,32.0,14.0,17.0,6.0,23.0,35.0,8.0,34.0,50.0,40.0,74.0,69.0,57.0,3.0,298.0,7.0,33.0,83.0,10.0,10.0,88.0,5.0,124.0,7.0,102.0,64.0,77.0,21.0,51.0,23.0,30.0,108.0,22.0,46.0,11.0,57.0,89.0,8.0,110.0,36.0,6.0,46.0,0.0,84.0,13.0,18.0,20.0,16.0,22.0,120.0,19.0,6.0,8.0,46.0,31.0,0.0,25.0,57.0,26.0,33.0,59.0,110.0,2.0
wh_movement__filler_effect_gap,13.0,20.0,5.0,23.0,7.0,870.0,7.0,71.0,45.0,18.0,31.0,16.0,7.0,30.0,29.0,19.0,4.0,24.0,15.0,6.0,29.0,5.0,3.0,11.0,27.0,0.0,38.0,14.0,8.0,41.0,15.0,20.0,2.0,8.0,14.0,0.0,4.0,12.0,45.0,11.0,19.0,42.0,18.0,16.0,16.0,0.0,15.0,20.0,35.0,5.0,22.0,21.0,7.0,3.0,5.0,43.0,24.0,8.0,3.0,21.0,27.0,11.0,30.0,4.0,18.0,5.0,14.0,17.0,33.0,21.0,27.0,15.0,55.0,30.0,14.0,30.0,1.0,19.0,14.0,7.0,16.0,10.0,9.0,16.0
passive__impersonal,10.0,8.0,17.0,3.0,20.0,7.0,870.0,15.0,0.0,24.0,9.0,4.0,15.0,28.0,13.0,11.0,19.0,42.0,6.0,22.0,10.0,0.0,3.0,3.0,0.0,1.0,7.0,8.0,81.0,8.0,6.0,19.0,21.0,5.0,11.0,3.0,0.0,6.0,7.0,1.0,16.0,42.0,8.0,13.0,5.0,3.0,14.0,12.0,14.0,5.0,3.0,3.0,10.0,0.0,15.0,1.0,20.0,40.0,4.0,48.0,14.0,9.0,5.0,1.0,60.0,2.0,9.0,9.0,4.0,11.0,80.0,19.0,3.0,5.0,80.0,5.0,0.0,2.0,10.0,6.0,145.0,29.0,4.0,9.0
topicalization__question_similarity_1,11.0,17.0,20.0,29.0,9.0,71.0,15.0,870.0,21.0,21.0,13.0,13.0,14.0,25.0,18.0,12.0,18.0,12.0,6.0,14.0,14.0,16.0,9.0,10.0,20.0,4.0,33.0,12.0,9.0,32.0,11.0,18.0,13.0,12.0,13.0,4.0,11.0,19.0,13.0,26.0,8.0,18.0,26.0,14.0,31.0,5.0,5.0,21.0,19.0,1.0,18.0,38.0,11.0,1.0,8.0,35.0,10.0,4.0,15.0,9.0,37.0,15.0,21.0,12.0,9.0,9.0,26.0,18.0,30.0,24.0,22.0,22.0,12.0,22.0,24.0,34.0,4.0,7.0,29.0,20.0,16.0,10.0,5.0,17.0
relativization__island,3.0,14.0,5.0,20.0,12.0,45.0,0.0,21.0,870.0,3.0,28.0,15.0,11.0,32.0,20.0,15.0,8.0,12.0,27.0,11.0,27.0,18.0,8.0,20.0,22.0,15.0,26.0,19.0,8.0,15.0,19.0,27.0,8.0,5.0,17.0,6.0,12.0,6.0,21.0,20.0,7.0,19.0,13.0,15.0,12.0,6.0,26.0,8.0,19.0,1.0,33.0,19.0,21.0,47.0,6.0,49.0,13.0,44.0,6.0,6.0,14.0,12.0,14.0,41.0,11.0,21.0,15.0,34.0,23.0,36.0,13.0,21.0,21.0,18.0,14.0,23.0,29.0,127.0,26.0,31.0,3.0,3.0,15.0,11.0
wh_movement_restrictions__resumptive_prolepsis,5.0,19.0,4.0,0.0,16.0,18.0,24.0,21.0,3.0,870.0,16.0,7.0,11.0,20.0,6.0,11.0,9.0,28.0,2.0,11.0,7.0,1.0,2.0,4.0,3.0,5.0,11.0,9.0,30.0,15.0,5.0,26.0,16.0,15.0,6.0,2.0,1.0,9.0,19.0,5.0,10.0,11.0,23.0,22.0,3.0,3.0,9.0,18.0,14.0,24.0,4.0,1.0,24.0,8.0,6.0,13.0,9.0,16.0,3.0,19.0,12.0,8.0,19.0,0.0,25.0,3.0,5.0,11.0,9.0,6.0,16.0,7.0,10.0,10.0,37.0,7.0,0.0,19.0,14.0,6.0,38.0,21.0,12.0,17.0
