,finite_argument_clause__sluicing_2,complementive__position_adverb,finite_argument_clause__perception_of,r_words__adverbial,argument_structure__intransitive_unaccusative_1,wh_movement__filler_effect_gap,passive__impersonal,topicalization__question_similarity_1,relativization__island,wh_movement_restrictions__resumptive_prolepsis,r_words__weak_proform,wh_movement_restrictions__bridge_verb_2,topicalization__resumptive_prolepsis,argument_structure__argument_number_ditransitive,adpositional_phrases__argument_scrambling,relativization__resumptive_prolepsis,quantifiers__universal_difference_agreement_singular,infinitival_argument_clause__bare_verb_cluster,infinitival_argument_clause__te_om_te_difference_1,complementive__transitive,parasitic_gaps__scrambling,parasitic_gaps__structure_type_1,quantifiers__universal_difference_agreement_plural,nominalization__type_inf_1,infinitival_argument_clause__bare_verb_type_1,wh_movement__filler_effect_no_gap,auxiliaries__order_1,adpositional_phrases__argument_r_extraction,complementive__ditransitive,complementive__position_verb,infinitival_argument_clause__verb_type,extraposition__adjectival_supplementive,adverbial_modification__position_type,anaphor_agreement__person,auxiliaries__semi_aspectual_2,argument_structure__ditransitive_nomdat_1,passive__ditransitive_2,determiners__geen_scrambling_1,crossing_dependencies__cross_dependency,finite_argument_clause__position,passive__aci,infinitival_argument_clause__te_transparant_split,wh_movement_restrictions__island_2,verb_second__order_embedded,wh_movement__stranding_1,passive__ditransitive_1,infinitival_argument_clause__bare_verb_type_3,determiners__geen_scrambling_2,argument_structure__argument_number_in_transitive,binding_principle_a__monomorphemic,argument_structure__ditransitive_nomdat_2,infinitival_argument_clause__om_te,verb_second__order_main,parasitic_gaps__structure_type_3,anaphor_agreement__number,wh_movement_restrictions__island_1,wh_movement__hierarchy,finite_argument_clause__perception_dat,wh_movement__stranding_2,adverbial_modification__position_proform,auxiliaries__order_2,determiners__negative_polarity,complementive__intransitive,argument_structure__intransitive_unaccusative_3,auxiliaries__semi_aspectual_1,infinitival_argument_clause__te_om_te_difference_2,wh_movement_restrictions__superiority,parasitic_gaps__structure_type_2,determiners__geen_expletive,argument_structure__ditransitive_nomdat_3,infinitival_argument_clause__bare_verb_type_2,nominalization__type_inf_2,finite_argument_clause__sluicing_1,extraposition__argument_nominal,wh_movement__question_formation,extraposition__adjectival_adverbial,argument_structure__intransitive_unaccusative_2,topicalization__island,auxiliaries__perfect,finite_argument_clause__complementizer,binding_principle_a__c_command,relativization__pied_piping,topicalization__question_similarity_2,wh_movement_restrictions__bridge_verb_1
adjunct_island,0.0,0.0,7.0,19.0,26.0,3.0,1.0,16.0,13.0,3.0,3.0,15.0,21.0,1.0,12.0,16.0,17.0,7.0,11.0,4.0,13.0,49.0,34.0,26.0,6.0,2.0,20.0,0.0,8.0,2.0,33.0,1.0,0.0,0.0,6.0,50.0,28.0,4.0,8.0,35.0,2.0,9.0,7.0,1.0,19.0,43.0,5.0,0.0,4.0,0.0,12.0,55.0,1.0,45.0,22.0,18.0,19.0,1.0,12.0,0.0,11.0,1.0,17.0,37.0,4.0,2.0,1.0,32.0,9.0,14.0,6.0,1.0,3.0,8.0,6.0,2.0,30.0,9.0,18.0,11.0,10.0,8.0,18.0,8.0
principle_A_c_command,10.0,15.0,9.0,5.0,23.0,30.0,14.0,5.0,36.0,3.0,11.0,6.0,11.0,25.0,11.0,9.0,6.0,21.0,3.0,13.0,1.0,7.0,13.0,1.0,7.0,5.0,11.0,19.0,11.0,14.0,61.0,12.0,7.0,8.0,11.0,19.0,4.0,5.0,15.0,12.0,16.0,14.0,4.0,18.0,5.0,9.0,9.0,17.0,18.0,8.0,40.0,53.0,9.0,23.0,5.0,4.0,25.0,20.0,4.0,20.0,19.0,18.0,2.0,35.0,13.0,8.0,4.0,13.0,15.0,30.0,32.0,10.0,17.0,14.0,24.0,7.0,35.0,15.0,5.0,28.0,15.0,7.0,18.0,13.0
anaphor_number_agreement,10.0,10.0,10.0,5.0,21.0,38.0,29.0,11.0,23.0,6.0,6.0,17.0,29.0,35.0,28.0,3.0,15.0,10.0,5.0,22.0,2.0,1.0,4.0,2.0,18.0,21.0,15.0,24.0,27.0,18.0,42.0,6.0,33.0,24.0,28.0,0.0,4.0,9.0,42.0,15.0,15.0,40.0,13.0,14.0,6.0,0.0,14.0,24.0,32.0,16.0,35.0,49.0,21.0,5.0,11.0,15.0,50.0,57.0,2.0,17.0,33.0,39.0,4.0,14.0,29.0,8.0,2.0,3.0,28.0,30.0,61.0,26.0,18.0,16.0,53.0,11.0,16.0,18.0,12.0,35.0,36.0,51.0,61.0,12.0
principle_A_domain_2,11.0,18.0,7.0,7.0,22.0,38.0,23.0,16.0,24.0,4.0,15.0,6.0,21.0,34.0,25.0,9.0,7.0,13.0,7.0,19.0,5.0,0.0,6.0,13.0,2.0,29.0,3.0,20.0,11.0,10.0,11.0,7.0,19.0,6.0,16.0,1.0,2.0,5.0,34.0,24.0,16.0,30.0,23.0,12.0,6.0,1.0,12.0,25.0,27.0,8.0,23.0,25.0,10.0,5.0,5.0,10.0,35.0,41.0,1.0,10.0,20.0,17.0,3.0,9.0,24.0,20.0,1.0,7.0,26.0,25.0,41.0,17.0,17.0,12.0,47.0,23.0,9.0,13.0,8.0,24.0,12.0,32.0,28.0,9.0
determiner_noun_agreement_with_adjective_1,3.0,10.0,7.0,19.0,18.0,32.0,21.0,10.0,22.0,6.0,22.0,18.0,23.0,31.0,35.0,10.0,34.0,12.0,8.0,9.0,17.0,4.0,9.0,11.0,16.0,19.0,53.0,19.0,19.0,13.0,40.0,10.0,20.0,7.0,15.0,6.0,11.0,7.0,43.0,45.0,20.0,33.0,9.0,12.0,22.0,7.0,11.0,18.0,26.0,20.0,49.0,58.0,9.0,3.0,32.0,14.0,40.0,41.0,17.0,21.0,28.0,24.0,8.0,27.0,35.0,9.0,9.0,24.0,40.0,58.0,52.0,37.0,14.0,21.0,53.0,15.0,21.0,20.0,33.0,28.0,26.0,28.0,61.0,22.0
irregular_plural_subject_verb_agreement_2,2.0,38.0,6.0,0.0,34.0,11.0,16.0,5.0,16.0,20.0,10.0,8.0,22.0,48.0,24.0,12.0,15.0,36.0,3.0,17.0,6.0,0.0,1.0,3.0,9.0,21.0,18.0,20.0,31.0,34.0,30.0,17.0,39.0,42.0,14.0,0.0,4.0,9.0,54.0,13.0,17.0,50.0,7.0,49.0,2.0,1.0,10.0,47.0,33.0,38.0,19.0,21.0,34.0,1.0,14.0,6.0,19.0,58.0,12.0,41.0,34.0,24.0,12.0,11.0,41.0,15.0,13.0,2.0,16.0,31.0,53.0,11.0,11.0,19.0,50.0,11.0,8.0,27.0,20.0,28.0,18.0,43.0,65.0,12.0
distractor_agreement_relative_clause,10.0,14.0,9.0,8.0,26.0,29.0,24.0,6.0,23.0,8.0,16.0,5.0,22.0,34.0,23.0,18.0,12.0,22.0,4.0,13.0,6.0,0.0,4.0,3.0,14.0,28.0,25.0,25.0,22.0,16.0,28.0,17.0,21.0,20.0,18.0,0.0,4.0,8.0,40.0,18.0,15.0,36.0,9.0,26.0,6.0,0.0,11.0,26.0,34.0,18.0,34.0,27.0,26.0,16.0,11.0,20.0,16.0,47.0,13.0,28.0,23.0,35.0,14.0,13.0,30.0,14.0,12.0,18.0,35.0,33.0,40.0,23.0,23.0,19.0,40.0,18.0,16.0,23.0,11.0,32.0,9.0,33.0,56.0,19.0
wh_questions_subject_gap_long_distance,3.0,3.0,4.0,28.0,18.0,12.0,3.0,19.0,22.0,3.0,13.0,14.0,14.0,14.0,12.0,18.0,12.0,3.0,20.0,6.0,30.0,29.0,23.0,13.0,18.0,13.0,26.0,8.0,4.0,12.0,6.0,7.0,3.0,0.0,8.0,19.0,22.0,12.0,7.0,17.0,5.0,12.0,15.0,5.0,32.0,22.0,8.0,1.0,16.0,2.0,22.0,30.0,7.0,25.0,8.0,29.0,24.0,9.0,19.0,1.0,8.0,3.0,15.0,22.0,7.0,13.0,15.0,24.0,13.0,21.0,9.0,14.0,10.0,9.0,17.0,8.0,17.0,23.0,27.0,25.0,6.0,13.0,7.0,8.0
left_branch_island_simple_question,4.0,10.0,10.0,13.0,16.0,32.0,12.0,26.0,21.0,26.0,10.0,16.0,17.0,46.0,31.0,22.0,8.0,17.0,9.0,16.0,22.0,14.0,9.0,12.0,7.0,4.0,13.0,19.0,15.0,19.0,26.0,14.0,10.0,13.0,17.0,15.0,14.0,12.0,20.0,16.0,5.0,12.0,34.0,13.0,11.0,17.0,21.0,18.0,40.0,14.0,21.0,32.0,18.0,12.0,9.0,31.0,30.0,26.0,16.0,20.0,8.0,13.0,20.0,16.0,18.0,8.0,14.0,16.0,18.0,19.0,39.0,11.0,9.0,20.0,35.0,12.0,15.0,5.0,16.0,18.0,12.0,8.0,19.0,20.0
wh_vs_that_no_gap_long_distance,10.0,11.0,5.0,10.0,16.0,4.0,20.0,2.0,26.0,12.0,14.0,15.0,24.0,28.0,19.0,11.0,8.0,9.0,16.0,2.0,10.0,1.0,2.0,11.0,15.0,52.0,13.0,34.0,15.0,5.0,6.0,10.0,15.0,13.0,10.0,1.0,1.0,12.0,27.0,29.0,17.0,21.0,19.0,11.0,4.0,3.0,32.0,15.0,26.0,14.0,17.0,15.0,16.0,22.0,10.0,27.0,13.0,61.0,12.0,16.0,18.0,24.0,6.0,6.0,26.0,18.0,15.0,17.0,22.0,11.0,25.0,39.0,20.0,9.0,44.0,9.0,9.0,31.0,8.0,41.0,2.0,41.0,36.0,19.0
