,prep_anim,simple_agrmt,vp_coord,subj_rel,obj_rel_within_anim,obj_rel_across_anim,long_vp_coord
genitive_subj_predicate_agreement_gender,22.0,45.0,22.0,34.0,38.0,27.0,19.0
clause_subj_predicate_agreement_gender,28.0,61.0,40.0,38.0,26.0,34.0,26.0
noun_subj_predicate_agreement_gender,22.0,48.0,26.0,45.0,22.0,32.0,14.0
subj_predicate_agreement_gender_attractor,24.0,50.0,29.0,38.0,22.0,29.0,15.0
genitive_subj_predicate_agreement_number,19.0,41.0,25.0,38.0,31.0,29.0,15.0
clause_subj_predicate_agreement_number,20.0,43.0,32.0,41.0,26.0,31.0,15.0
noun_subj_predicate_agreement_number,24.0,45.0,32.0,40.0,24.0,33.0,19.0
genitive_subj_predicate_agreement_person,7.0,11.0,7.0,17.0,38.0,10.0,14.0
clause_subj_predicate_agreement_person,2.0,6.0,3.0,13.0,37.0,9.0,12.0
noun_subj_predicate_agreement_person,19.0,23.0,22.0,29.0,38.0,17.0,14.0
subj_predicate_agreement_number_attractor,31.0,51.0,38.0,38.0,27.0,34.0,31.0
