,definiteness_every,cl_simple_noun,cl_comp_noun_v2,zai_le,temporal_le,menself_female,dem_cl_swap,cl_self_male,self_male,cl_comp_noun,cl_adj_comp_noun_v2,temporal_guo,menself_male,bare_wh,zai_no_le,pp_male,any,rc_resumptive_pronoun,self_female,zai_guo,mod_wh,rc_resumptive_noun,pp_female,cl_men_self_female,cl_self_female,cl_men_self_male,definiteness_demonstrative,even_wh,cl_adj_simple_noun,haishi_ma,more_or_less,cl_adj_comp_noun
definiteness_every,870.0,76.0,84.0,9.0,20.0,20.0,43.0,2.0,24.0,61.0,76.0,39.0,1.0,4.0,23.0,35.0,36.0,21.0,24.0,29.0,10.0,52.0,18.0,20.0,20.0,1.0,154.0,21.0,83.0,9.0,55.0,40.0
cl_simple_noun,76.0,870.0,163.0,1.0,19.0,11.0,111.0,13.0,13.0,106.0,117.0,71.0,10.0,10.0,15.0,3.0,7.0,18.0,14.0,32.0,6.0,69.0,9.0,10.0,12.0,10.0,23.0,11.0,308.0,2.0,45.0,39.0
cl_comp_noun_v2,84.0,163.0,870.0,8.0,31.0,3.0,24.0,5.0,1.0,121.0,355.0,69.0,6.0,14.0,8.0,0.0,31.0,32.0,3.0,15.0,6.0,110.0,4.0,5.0,7.0,11.0,34.0,39.0,177.0,2.0,49.0,117.0
zai_le,9.0,1.0,8.0,870.0,1.0,21.0,9.0,20.0,15.0,1.0,7.0,0.0,13.0,44.0,23.0,16.0,6.0,25.0,27.0,16.0,46.0,18.0,17.0,18.0,15.0,16.0,17.0,4.0,2.0,28.0,14.0,2.0
temporal_le,20.0,19.0,31.0,1.0,870.0,17.0,19.0,15.0,16.0,12.0,29.0,400.0,17.0,2.0,8.0,5.0,13.0,20.0,12.0,5.0,2.0,37.0,12.0,14.0,19.0,15.0,7.0,16.0,23.0,8.0,15.0,29.0
menself_female,20.0,11.0,3.0,21.0,17.0,870.0,8.0,151.0,84.0,1.0,1.0,17.0,185.0,35.0,7.0,77.0,5.0,24.0,20.0,1.0,13.0,0.0,14.0,588.0,578.0,148.0,26.0,9.0,4.0,23.0,3.0,4.0
dem_cl_swap,43.0,111.0,24.0,9.0,19.0,8.0,870.0,8.0,4.0,65.0,19.0,25.0,9.0,13.0,16.0,12.0,20.0,41.0,2.0,51.0,10.0,26.0,0.0,6.0,6.0,7.0,32.0,14.0,144.0,14.0,30.0,30.0
cl_self_male,2.0,13.0,5.0,20.0,15.0,151.0,8.0,870.0,7.0,1.0,2.0,19.0,564.0,30.0,7.0,5.0,5.0,3.0,157.0,7.0,4.0,4.0,96.0,187.0,192.0,624.0,9.0,9.0,5.0,18.0,14.0,2.0
self_male,24.0,13.0,1.0,15.0,16.0,84.0,4.0,7.0,870.0,3.0,6.0,18.0,5.0,23.0,7.0,276.0,5.0,76.0,0.0,4.0,14.0,7.0,6.0,104.0,95.0,6.0,31.0,5.0,2.0,15.0,4.0,6.0
cl_comp_noun,61.0,106.0,121.0,1.0,12.0,1.0,65.0,1.0,3.0,870.0,79.0,23.0,1.0,3.0,15.0,4.0,17.0,12.0,3.0,26.0,7.0,33.0,7.0,1.0,1.0,1.0,22.0,14.0,94.0,1.0,24.0,111.0
cl_adj_comp_noun_v2,76.0,117.0,355.0,7.0,29.0,1.0,19.0,2.0,6.0,79.0,870.0,61.0,5.0,10.0,12.0,0.0,28.0,35.0,1.0,21.0,7.0,89.0,4.0,5.0,5.0,8.0,19.0,34.0,186.0,6.0,29.0,174.0
temporal_guo,39.0,71.0,69.0,0.0,400.0,17.0,25.0,19.0,18.0,23.0,61.0,870.0,21.0,4.0,17.0,5.0,22.0,15.0,25.0,5.0,4.0,62.0,16.0,16.0,20.0,18.0,20.0,19.0,69.0,0.0,31.0,50.0
